https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1.6238E+12,6/16/2021 0:00,DOT/USDT,23.942,24.123,23.754,24.005,185852.707,4437873.052,7565
1.62372E+12,6/15/2021 0:00,DOT/USDT,25.858,26.009,23.514,23.942,17728382.4,435871196.9,1147831
1.62363E+12,6/14/2021 0:00,DOT/USDT,22.041,26.026,21.233,25.858,23122012.59,550314633.6,1171223
1.62354E+12,6/13/2021 0:00,DOT/USDT,20.742,22.412,19.928,22.04,9398764.597,197377445.4,379717
1.62346E+12,6/12/2021 0:00,DOT/USDT,20.945,21.262,19.5,20.742,12547282.8,255877618.4,484353
1.62337E+12,6/11/2021 0:00,DOT/USDT,22.68,23.206,20.487,20.95,12851416.71,283090536,596002
1.62328E+12,6/10/2021 0:00,DOT/USDT,23.216,24.6,22.042,22.683,18698941.75,439960346.8,745905
1.6232E+12,6/9/2021 0:00,DOT/USDT,21.643,23.335,20.361,23.214,17895882.48,391614110.2,690842
1.62311E+12,6/8/2021 0:00,DOT/USDT,21.686,22.291,19.6,21.65,22854699.76,483168687,879284
1.62302E+12,6/7/2021 0:00,DOT/USDT,24.189,25.283,21.3,21.686,16728777.96,399742774.1,671363
1.62294E+12,6/6/2021 0:00,DOT/USDT,23.772,24.501,23.433,24.184,8542620.371,205312976.9,346779
1.62285E+12,6/5/2021 0:00,DOT/USDT,24.991,26.4,22.933,23.771,15159286.36,374681469.7,882820
1.62276E+12,6/4/2021 0:00,DOT/USDT,27.005,27.019,23.605,24.988,23200131.88,576239612.9,985149
1.62268E+12,6/3/2021 0:00,DOT/USDT,25.913,28.6,25.673,27.004,22096623.22,602717323.4,1274565
1.62259E+12,6/2/2021 0:00,DOT/USDT,22.84,26.87,22.649,25.916,24489800.1,605825207.9,1241891
1.62251E+12,6/1/2021 0:00,DOT/USDT,23.273,23.539,21.6,22.84,18793956.11,422557506.3,753367
1.62242E+12,5/31/2021 0:00,DOT/USDT,20.46,23.45,19.06,23.264,21593146.82,458802954.2,761763
1.62233E+12,5/30/2021 0:00,DOT/USDT,19.881,21.356,18.416,20.465,17307772.38,351190236.4,624064
1.62225E+12,5/29/2021 0:00,DOT/USDT,21.349,22.319,18.779,19.868,20620470.35,423929773,733877
1.62216E+12,5/28/2021 0:00,DOT/USDT,23.996,26.231,20.03,21.349,52769895.8,1188221275,1806658
1.62207E+12,5/27/2021 0:00,DOT/USDT,24.529,24.97,21.746,23.995,25085377.1,590208744.9,969306
1.62199E+12,5/26/2021 0:00,DOT/USDT,22.141,24.788,21.612,24.529,27287311.3,637850285.6,1021428
1.6219E+12,5/25/2021 0:00,DOT/USDT,23.26,24.218,19.615,22.141,34542082.3,746971806.6,1201907
1.62181E+12,5/24/2021 0:00,DOT/USDT,17.905,23.477,17.071,23.268,44312245.8,901816763.6,1390218
1.62173E+12,5/23/2021 0:00,DOT/USDT,22.06,23.467,13.611,17.906,68972958.8,1217275329,2046320
1.62164E+12,5/22/2021 0:00,DOT/USDT,24.389,24.618,20.312,22.052,36868429.3,833078466.9,1317514
1.62156E+12,5/21/2021 0:00,DOT/USDT,28.941,31.01,19.959,24.4,50897272.6,1287453893,2018435
1.62147E+12,5/20/2021 0:00,DOT/USDT,25.051,31.3,21.071,28.942,51882967,1419795593,1925186
1.62138E+12,5/19/2021 0:00,DOT/USDT,40.642,41.445,15.376,25.061,69636761.5,2176758330,3074880
1.6213E+12,5/18/2021 0:00,DOT/USDT,38.725,42.599,37.688,40.616,24162448.2,968607143.2,1346589
1.62121E+12,5/17/2021 0:00,DOT/USDT,42.466,42.55,35.132,38.732,30985017.6,1202325489,1709636
1.62112E+12,5/16/2021 0:00,DOT/USDT,43.673,46.773,39.3,42.461,27139702.3,1166990879,1470273
1.62104E+12,5/15/2021 0:00,DOT/USDT,48.064,49.855,42.783,43.66,41668486.9,1949288959,2361879
1.62095E+12,5/14/2021 0:00,DOT/USDT,40.028,48.184,39.433,48.063,37234079.4,1617045393,1920133
1.62086E+12,5/13/2021 0:00,DOT/USDT,35.072,41.926,32.8,40.027,45175868.6,1762169698,2245372
1.62078E+12,5/12/2021 0:00,DOT/USDT,38.665,42.571,33.644,35.072,29184708.6,1148475762,1361702
1.62069E+12,5/11/2021 0:00,DOT/USDT,36.479,38.708,35.58,38.665,14215182.8,526796779.4,681292
1.6206E+12,5/10/2021 0:00,DOT/USDT,40.328,41.895,32,36.479,23334284.5,892669001.6,1013647
1.62052E+12,5/9/2021 0:00,DOT/USDT,39.956,40.6,38.198,40.347,14289094.3,565122497.7,709288
1.62043E+12,5/8/2021 0:00,DOT/USDT,39.871,40.73,38.748,39.953,10914755.8,434172851.4,565050
1.62035E+12,5/7/2021 0:00,DOT/USDT,41.642,42.805,38.3,39.865,22928084.6,938440925.2,1025301
1.62026E+12,5/6/2021 0:00,DOT/USDT,40.476,44.215,38.026,41.637,30580933.5,1249572044,1327542
1.62017E+12,5/5/2021 0:00,DOT/USDT,34.798,40.849,34.555,40.477,21794009.5,832185297.6,954914
1.62009E+12,5/4/2021 0:00,DOT/USDT,37.306,38.002,34.4,34.796,21499084.4,777032119.1,898873
1.62E+12,5/3/2021 0:00,DOT/USDT,36.655,38.381,36.633,37.296,14684144.2,550636292.4,659584
1.61991E+12,5/2/2021 0:00,DOT/USDT,36.957,37.232,35.47,36.658,11217607.8,408678744.9,547659
1.61983E+12,5/1/2021 0:00,DOT/USDT,36.554,37.421,35.789,36.959,11979611.1,439943114.9,567195
1.61974E+12,4/30/2021 0:00,DOT/USDT,35.992,36.866,35.137,36.553,15819473.6,571206373.4,694810
1.61965E+12,4/29/2021 0:00,DOT/USDT,33.996,36.015,33.01,35.989,12659208,431191742,631601
1.61957E+12,4/28/2021 0:00,DOT/USDT,34.836,35.437,32.6,34,13264606.2,447450775.2,678500
1.61948E+12,4/27/2021 0:00,DOT/USDT,33.408,34.988,33.184,34.824,13514086.9,460664933.1,663564
1.6194E+12,4/26/2021 0:00,DOT/USDT,29.839,33.5,29.751,33.41,15063885.9,486307774.5,769987
1.61931E+12,4/25/2021 0:00,DOT/USDT,29,31.349,28.1,29.831,14293436.1,425827017.9,709342
1.61922E+12,4/24/2021 0:00,DOT/USDT,32.255,32.429,28.555,29,16745239.8,508029469.9,817591
1.61914E+12,4/23/2021 0:00,DOT/USDT,32.96,33.535,26.452,32.257,33395778.1,1005354973,1365564
1.61905E+12,4/22/2021 0:00,DOT/USDT,33.827,36.83,32.802,32.963,22982564.2,791829150,1133899
1.61896E+12,4/21/2021 0:00,DOT/USDT,35.423,36.358,33.047,33.817,18123651.9,631171582.4,829573
1.61888E+12,4/20/2021 0:00,DOT/USDT,34.774,35.8,31.549,35.42,23355838,788706674.2,1024047
1.61879E+12,4/19/2021 0:00,DOT/USDT,37.356,38.735,33.958,34.767,22129685.5,803351200.4,999864
1.6187E+12,4/18/2021 0:00,DOT/USDT,42.099,42.772,31.176,37.356,48189400.2,1764277946,1921668
1.61862E+12,4/17/2021 0:00,DOT/USDT,41.45,48.539,41.435,42.09,33488005.4,1498246876,1538830
1.61853E+12,4/16/2021 0:00,DOT/USDT,43.495,43.888,40.01,41.451,18525254.5,779085167.8,862871
1.61844E+12,4/15/2021 0:00,DOT/USDT,42.582,44.5,41.522,43.494,15846396,681622646.9,794426
1.61836E+12,4/14/2021 0:00,DOT/USDT,43.03,44.732,40.026,42.584,20585845.8,876213813.8,1028585
1.61827E+12,4/13/2021 0:00,DOT/USDT,40.539,43.582,39.909,43.021,14998428.7,626125934,802961
1.61819E+12,4/12/2021 0:00,DOT/USDT,41.411,41.877,39.429,40.539,9371896.6,381651113.5,540938
1.6181E+12,4/11/2021 0:00,DOT/USDT,41.663,41.998,40.1,41.4,8469809.2,346848333.7,521623
1.61801E+12,4/10/2021 0:00,DOT/USDT,40.847,42.871,40.011,41.657,11149156.6,463439202.3,598461
1.61793E+12,4/9/2021 0:00,DOT/USDT,41.365,42.168,40.136,40.847,8688716.3,357201608.4,483922
1.61784E+12,4/8/2021 0:00,DOT/USDT,39.575,41.666,39.272,41.372,11017036.4,447643005.8,627106
1.61775E+12,4/7/2021 0:00,DOT/USDT,43.404,43.578,37.651,39.571,22515789.6,905803896.4,1040769
1.61767E+12,4/6/2021 0:00,DOT/USDT,45.923,46.471,41.681,43.4,17487479.8,767831963.6,821508
1.61758E+12,4/5/2021 0:00,DOT/USDT,44.374,46.008,41.859,45.93,16534010.9,724614152.6,784210
1.61749E+12,4/4/2021 0:00,DOT/USDT,41.43,45.164,40.739,44.372,16594721.6,725619307,800231
1.61741E+12,4/3/2021 0:00,DOT/USDT,41.135,46.899,41.047,41.421,35312275.3,1559351931,1499851
1.61732E+12,4/2/2021 0:00,DOT/USDT,37.514,41.507,36.66,41.135,17315062.5,675418121.1,864700
1.61724E+12,4/1/2021 0:00,DOT/USDT,37.122,39.086,36.111,37.511,15231237.5,573606464.2,786052
1.61715E+12,3/31/2021 0:00,DOT/USDT,34.046,38.366,33.24,37.122,23952931.8,861031283.9,953515
1.61706E+12,3/30/2021 0:00,DOT/USDT,34.391,34.9,33.554,34.039,8716009.4,297637384,417315
1.61698E+12,3/29/2021 0:00,DOT/USDT,32.27,34.775,31.792,34.391,11325373.4,382560470.4,514053
