https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1623801600000,2021-06-16 00:00:00,SOL/USDT,39.51300000,39.52600000,38.90600000,39.27100000,68976.92800000,2697641.14191700,5621
1623715200000,2021-06-15 00:00:00,SOL/USDT,39.70000000,41.74100000,39.15400000,39.53600000,3725999.56100000,150827423.61863700,278396
1623628800000,2021-06-14 00:00:00,SOL/USDT,38.71300000,40.56100000,36.62700000,39.69400000,4590144.27900000,177057758.58813200,322569
1623542400000,2021-06-13 00:00:00,SOL/USDT,36.49200000,39.44200000,34.72000000,38.70600000,4063329.11200000,150202838.21765500,266808
1623456000000,2021-06-12 00:00:00,SOL/USDT,36.13100000,37.64000000,34.10000000,36.47600000,5196242.99800000,187288052.40672900,312291
1623369600000,2021-06-11 00:00:00,SOL/USDT,41.09100000,41.37600000,35.07400000,36.15700000,4760990.07800000,182293620.08125600,311982
1623283200000,2021-06-10 00:00:00,SOL/USDT,42.03200000,43.09700000,39.45900000,41.10500000,5155108.07100000,213330357.21994600,354655
1623196800000,2021-06-09 00:00:00,SOL/USDT,41.24500000,44.00000000,39.29100000,42.03200000,10764252.93600000,454086698.18965800,731919
1623110400000,2021-06-08 00:00:00,SOL/USDT,38.20000000,42.59600000,33.60000000,41.24500000,16902544.67500000,635390288.37388400,963195
1623024000000,2021-06-07 00:00:00,SOL/USDT,42.20000000,44.20000000,37.80000000,38.23500000,8050031.33500000,337872362.54691900,532459
1622937600000,2021-06-06 00:00:00,SOL/USDT,39.66300000,43.40000000,38.91200000,42.20500000,6151664.29400000,254022477.41097700,396217
1622851200000,2021-06-05 00:00:00,SOL/USDT,37.35600000,42.78700000,36.98200000,39.63300000,8654823.19500000,349869352.64052500,626772
1622764800000,2021-06-04 00:00:00,SOL/USDT,39.59900000,39.73700000,34.18700000,37.33800000,8825815.93800000,328450531.48109600,583340
1622678400000,2021-06-03 00:00:00,SOL/USDT,33.99400000,41.52300000,33.73600000,39.60200000,7862225.09400000,299415873.03283300,502187
1622592000000,2021-06-02 00:00:00,SOL/USDT,30.93100000,35.12900000,30.40200000,33.99400000,4549289.13300000,150880106.23441400,257770
1622505600000,2021-06-01 00:00:00,SOL/USDT,32.75900000,33.28500000,29.85200000,30.93800000,4046865.20200000,127601407.34258000,244478
1622419200000,2021-05-31 00:00:00,SOL/USDT,28.57300000,33.01400000,27.48900000,32.75000000,5173286.47100000,160794249.93276100,301346
1622332800000,2021-05-30 00:00:00,SOL/USDT,27.40700000,29.78100000,25.58600000,28.58800000,3964240.91900000,111975244.53899500,204751
1622246400000,2021-05-29 00:00:00,SOL/USDT,28.99300000,30.06600000,25.70000000,27.38800000,3911549.60000000,109362582.78609000,213125
1622160000000,2021-05-28 00:00:00,SOL/USDT,33.7790,34.5610,27.9650,28.9930,10942059,335577637.8540,463724
1622073600000,2021-05-27 00:00:00,SOL/USDT,35.4190,35.6280,31.0100,33.7790,9777355,329198544.4580,426643
1621987200000,2021-05-26 00:00:00,SOL/USDT,30.0030,37.2900,28.7870,35.4200,13273303,450166426.9150,575396
1621900800000,2021-05-25 00:00:00,SOL/USDT,31.4330,33.2000,25.9390,30.0070,16986371,492379286.0490,652869
1621814400000,2021-05-24 00:00:00,SOL/USDT,24.5000,32.1990,24.4990,31.4170,20445803,589967014.6450,869458
1621728000000,2021-05-23 00:00:00,SOL/USDT,31.2230,32.3930,19.1270,24.5170,39076209,951575381.5482,1667812
1621641600000,2021-05-22 00:00:00,SOL/USDT,38.9310,40.0000,31.1230,31.2250,12345674,436337694.6870,668504
1621555200000,2021-05-21 00:00:00,SOL/USDT,44.4260,47.7550,33.6910,38.9210,15997951,647911378.5060,938762
1621468800000,2021-05-20 00:00:00,SOL/USDT,34.9590,52.2160,32.1590,44.4310,20738815,889502520.0250,1248573
1621382400000,2021-05-19 00:00:00,SOL/USDT,55.9680,57.6150,25.2280,34.9520,22469448,1009801965.2313,1554440
1621296000000,2021-05-18 00:00:00,SOL/USDT,46.7520,58.5830,46.0410,55.9500,16401065,868390348.4036,1086920
1621209600000,2021-05-17 00:00:00,SOL/USDT,46.8700,52.0260,43.1000,46.7400,19506277,944017700.6579,1305517
1621123200000,2021-05-16 00:00:00,SOL/USDT,43.5170,52.5830,41.8590,46.8660,17511515,823757077.4065,1111652
1621036800000,2021-05-15 00:00:00,SOL/USDT,42.7350,45.5890,39.3980,43.5300,6765236,283038138.1964,356927
1620950400000,2021-05-14 00:00:00,SOL/USDT,41.0530,44.9690,39.8560,42.7410,6663570,281372242.9377,340144
1620864000000,2021-05-13 00:00:00,SOL/USDT,43.5640,45.4900,37.4310,41.0520,11761987,492391692.7314,700300
1620777600000,2021-05-12 00:00:00,SOL/USDT,44.6160,49.2010,42.0000,43.4840,12350550,566810869.8677,756230
1620691200000,2021-05-11 00:00:00,SOL/USDT,42.8901,45.1840,39.7320,44.6240,6247896,262051443.8542,323659
1620604800000,2021-05-10 00:00:00,SOL/USDT,44.3585,45.9866,38.2509,42.8909,6748573,294783007.8326,354974
1620518400000,2021-05-09 00:00:00,SOL/USDT,45.7108,47.1986,42.6106,44.3591,6989241,313508986.2728,350123
1620432000000,2021-05-08 00:00:00,SOL/USDT,43.2335,46.7000,42.3702,45.7022,6582638,292068974.4754,331336
1620345600000,2021-05-07 00:00:00,SOL/USDT,43.5628,46.2986,41.4650,43.2345,7708426,335408576.7770,402353
1620259200000,2021-05-06 00:00:00,SOL/USDT,45.0381,45.0731,42.5475,43.5641,5484122,240359213.0120,262769
1620172800000,2021-05-05 00:00:00,SOL/USDT,42.6666,46.0824,42.3507,45.0381,6524530,291148135.4151,310020
1620086400000,2021-05-04 00:00:00,SOL/USDT,46.0226,47.8893,42.2502,42.6551,9323174,420804026.1042,454497
1620000000000,2021-05-03 00:00:00,SOL/USDT,46.9537,49.1178,44.8000,46.0232,7884670,374053575.4250,394315
1619913600000,2021-05-02 00:00:00,SOL/USDT,49.7126,50.1542,46.0047,46.9593,8864773,420337060.3657,432709
1619827200000,2021-05-01 00:00:00,SOL/USDT,42.8771,50.0000,42.1103,49.7035,10657005,488896683.0126,551906
1619740800000,2021-04-30 00:00:00,SOL/USDT,42.4925,44.3370,41.2731,42.8771,6450482,277647723.3713,323328
1619654400000,2021-04-29 00:00:00,SOL/USDT,44.9065,46.1999,40.8900,42.4925,9494837,411845356.0399,487932
1619568000000,2021-04-28 00:00:00,SOL/USDT,43.2311,46.9880,40.6500,44.8884,12220284,541611553.1418,644090
1619481600000,2021-04-27 00:00:00,SOL/USDT,43.9778,46.6309,42.5670,43.2296,10375537,461661484.1165,560101
1619395200000,2021-04-26 00:00:00,SOL/USDT,47.3740,48.5420,43.3079,43.9698,13833593,639982835.1589,807205
1619308800000,2021-04-25 00:00:00,SOL/USDT,40.8604,48.5600,40.4248,47.3823,19686960,866788798.4930,1116009
1619222400000,2021-04-24 00:00:00,SOL/USDT,37.3417,43.6400,34.6447,40.8663,16754195,649590695.2330,869452
1619136000000,2021-04-23 00:00:00,SOL/USDT,38.9302,41.5553,31.4618,37.3702,22844271,813628931.7804,1090428
1619049600000,2021-04-22 00:00:00,SOL/USDT,32.6453,40.8878,31.5540,38.9341,21522070,805864204.1444,1079108
1618963200000,2021-04-21 00:00:00,SOL/USDT,31.7328,35.1789,30.1356,32.6637,12459087,408399257.1870,542058
1618876800000,2021-04-20 00:00:00,SOL/USDT,31.6106,32.7206,28.8000,31.7022,13350389,409363627.1015,559158
1618790400000,2021-04-19 00:00:00,SOL/USDT,32.3739,36.0711,29.9007,31.5856,19779493,647408899.2780,895744
1618704000000,2021-04-18 00:00:00,SOL/USDT,24.8590,32.9957,18.8868,32.3492,22782222,621814875.8379,889314
1618617600000,2021-04-17 00:00:00,SOL/USDT,25.3440,26.8387,24.8000,24.8423,6771477,175374670.2729,248919
1618531200000,2021-04-16 00:00:00,SOL/USDT,27.7881,28.2903,24.9098,25.3449,7217962,190708819.3671,267476
1618444800000,2021-04-15 00:00:00,SOL/USDT,26.4313,28.2938,25.5516,27.7857,6805634,183061030.6699,248174
1618358400000,2021-04-14 00:00:00,SOL/USDT,27.5073,27.6151,24.5888,26.4194,8359229,218834727.6145,328476
1618272000000,2021-04-13 00:00:00,SOL/USDT,28.5847,28.8639,26.4022,27.5083,6326847,173983625.5152,220143
1618185600000,2021-04-12 00:00:00,SOL/USDT,27.9538,29.9394,26.8510,28.5850,7548934,214048996.5575,268734
1618099200000,2021-04-11 00:00:00,SOL/USDT,26.8371,28.6872,25.5402,27.9493,6392971,172676736.0649,225881
1618012800000,2021-04-10 00:00:00,SOL/USDT,27.6620,28.2954,26.0016,26.8349,6482835,177090339.3679,238443
1617926400000,2021-04-09 00:00:00,SOL/USDT,26.9531,29.1026,26.7555,27.6623,8043738,226216676.8532,269590
1617840000000,2021-04-08 00:00:00,SOL/USDT,26.5629,28.0273,25.6202,26.9589,9886841,264429296.6240,344736
1617753600000,2021-04-07 00:00:00,SOL/USDT,25.1125,27.5648,22.8753,26.5699,16231781,417606328.2596,527633
