Date,Value
2021-06-04,1.27
2021-05-28,1.25
2021-05-21,1.3
2021-05-14,1.3
2021-05-07,1.26
2021-04-30,1.31
2021-04-23,1.25
2021-04-16,1.29
2021-04-09,1.34
2021-04-02,1.39
2021-03-26,1.3
2021-03-19,1.31
2021-03-12,1.24
2021-03-05,1.16
2021-02-26,1.08
2021-02-19,0.95
2021-02-12,0.82
2021-02-05,0.8
2021-01-29,0.75
2021-01-22,0.78
2021-01-15,0.81
2021-01-08,0.73
2021-01-01,0.66
2020-12-25,0.66
2020-12-18,0.65
2020-12-11,0.66
2020-12-04,0.67
2020-11-27,0.64
2020-11-20,0.64
2020-11-13,0.68
2020-11-06,0.6
2020-10-30,0.59
2020-10-23,0.58
2020-10-16,0.52
2020-10-09,0.55
2020-10-02,0.46
2020-09-25,0.46
2020-09-18,0.47
2020-09-11,0.47
2020-09-04,0.47
2020-08-28,0.5
2020-08-21,0.47
2020-08-14,0.48
2020-08-07,0.39
2020-07-31,0.42
2020-07-24,0.45
2020-07-17,0.47
2020-07-10,0.49
2020-07-03,0.5
2020-06-26,0.52
2020-06-19,0.54
2020-06-12,0.59
2020-06-05,0.59
2020-05-29,0.52
2020-05-22,0.54
2020-05-15,0.51
2020-05-08,0.53
2020-05-01,0.53
2020-04-24,0.51
2020-04-17,0.55
2020-04-10,0.62
2020-04-03,0.54
2020-03-27,0.69
2020-03-20,0.9
2020-03-13,0.76
2020-03-06,0.86
2020-02-28,1.21
2020-02-21,1.46
2020-02-14,1.51
2020-02-07,1.52
2020-01-31,1.5
2020-01-24,1.66
2020-01-17,1.74
2020-01-10,1.75
2020-01-03,1.79
2019-12-27,1.84
2019-12-20,1.84
2019-12-13,1.78
2019-12-06,1.73
2019-11-29,1.71
2019-11-22,1.7
2019-11-15,1.78
2019-11-08,1.78
2019-11-01,1.68
2019-10-25,1.69
2019-10-18,1.66
2019-10-11,1.53
2019-10-04,1.52
2019-09-27,1.63
2019-09-20,1.74
2019-09-13,1.69
2019-09-06,1.46
2019-08-30,1.45
2019-08-23,1.52
2019-08-16,1.54
2019-08-09,1.62
2019-08-02,1.86
2019-07-26,1.94
2019-07-19,1.94
2019-07-12,1.96
2019-07-05,1.88
2019-06-28,1.88
2019-06-21,1.92
2019-06-14,2.0
2019-06-07,1.99
2019-05-31,2.12
2019-05-24,2.27
2019-05-17,2.28
2019-05-10,2.37
2019-05-03,2.42
2019-04-26,2.43
2019-04-19,2.48
2019-04-12,2.41
2019-04-05,2.4
2019-03-29,2.3
2019-03-22,2.45
2019-03-15,2.51
2019-03-08,2.58
2019-03-01,2.6
2019-02-22,2.56
2019-02-15,2.58
2019-02-08,2.58
2019-02-01,2.59
2019-01-25,2.65
2019-01-18,2.64
2019-01-11,2.62
2019-01-04,2.54
2018-12-28,2.68
2018-12-21,2.73
2018-12-14,2.81
2018-12-07,2.83
2018-11-30,2.96
2018-11-23,2.97
2018-11-16,3.03
2018-11-09,3.14
2018-11-02,3.06
2018-10-26,3.06
2018-10-19,3.12
2018-10-12,3.12
2018-10-05,3.09
2018-09-28,3.03
2018-09-21,3.01
2018-09-14,2.93
2018-09-07,2.86
2018-08-31,2.83
2018-08-24,2.78
2018-08-17,2.82
2018-08-10,2.89
2018-08-03,2.93
2018-07-27,2.92
2018-07-20,2.83
2018-07-13,2.82
2018-07-06,2.8
2018-06-29,2.82
2018-06-22,2.87
2018-06-15,2.91
2018-06-08,2.89
2018-06-01,2.78
2018-05-25,2.96
2018-05-18,3.03
2018-05-11,2.93
2018-05-04,2.91
2018-04-27,2.95
2018-04-20,2.83
2018-04-13,2.75
2018-04-06,2.72
2018-03-30,2.72
2018-03-23,2.78
2018-03-16,2.77
2018-03-09,2.81
2018-03-02,2.79
2018-02-23,2.83
2018-02-16,2.8
2018-02-09,2.72
2018-02-02,2.68
2018-01-26,2.57
2018-01-19,2.53
2018-01-12,2.46
2018-01-05,2.38
2017-12-29,2.35
2017-12-22,2.37
2017-12-15,2.29
2017-12-08,2.28
2017-12-01,2.26
2017-11-24,2.25
2017-11-17,2.24
2017-11-10,2.2
2017-11-03,2.21
2017-10-27,2.26
2017-10-20,2.18
2017-10-13,2.16
2017-10-06,2.17
2017-09-29,2.12
2017-09-22,2.09
2017-09-15,2.0
2017-09-08,1.9
2017-09-01,1.97
2017-08-25,2.01
2017-08-18,2.04
2017-08-11,2.05
2017-08-04,2.08
2017-07-28,2.11
2017-07-21,2.08
2017-07-14,2.16
2017-07-07,2.2
2017-06-30,2.06
2017-06-23,1.99
2017-06-16,1.99
2017-06-09,1.99
2017-06-02,2.01
2017-05-26,2.07
2017-05-19,2.08
2017-05-12,2.19
2017-05-05,2.14
2017-04-28,2.11
2017-04-21,2.04
2017-04-14,2.11
2017-04-07,2.16
2017-03-31,2.23
2017-03-24,2.24
2017-03-17,2.36
2017-03-10,2.37
2017-03-03,2.26
2017-02-24,2.2
2017-02-17,2.27
2017-02-10,2.18
2017-02-03,2.27
2017-01-27,2.27
2017-01-20,2.24
2017-01-13,2.18
2017-01-06,2.23
2016-12-30,2.31
2016-12-23,2.36
2016-12-16,2.34
2016-12-09,2.19
2016-12-02,2.18
2016-11-25,2.15
2016-11-18,2.06
2016-11-11,1.75
2016-11-04,1.59
2016-10-28,1.6
2016-10-21,1.54
2016-10-14,1.58
2016-10-07,1.53
2016-09-30,1.4
2016-09-23,1.48
2016-09-16,1.52
2016-09-09,1.44
2016-09-02,1.45
2016-08-26,1.42
2016-08-19,1.41
2016-08-12,1.38
2016-08-05,1.35
2016-07-29,1.36
2016-07-22,1.39
2016-07-15,1.34
2016-07-08,1.2
2016-07-01,1.28
2016-06-24,1.46
2016-06-17,1.4
2016-06-10,1.5
2016-06-03,1.62
2016-05-27,1.67
2016-05-20,1.63
2016-05-13,1.52
2016-05-06,1.57
2016-04-29,1.65
2016-04-22,1.61
2016-04-15,1.53
2016-04-08,1.49
2016-04-01,1.59
2016-03-25,1.7
2016-03-18,1.73
2016-03-11,1.72
2016-03-04,1.62
2016-02-26,1.52
2016-02-19,1.54
2016-02-12,1.46
2016-02-05,1.62
2016-01-29,1.75
2016-01-22,1.79
2016-01-15,1.87
2016-01-08,1.99
2016-01-01,2.1
2015-12-25,2.04
2015-12-18,2.05
2015-12-11,1.99
2015-12-04,2.01
2015-11-27,2.01
2015-11-20,2.03
2015-11-13,2.08
2015-11-06,1.99
2015-10-30,1.83
2015-10-23,1.76
2015-10-16,1.71
2015-10-09,1.76
2015-10-02,1.74
2015-09-25,1.86
2015-09-18,1.92
2015-09-11,1.91
2015-09-04,1.9
2015-08-28,1.87
2015-08-21,1.87
2015-08-14,1.93
2015-08-07,1.96
2015-07-31,1.98
2015-07-24,2.06
2015-07-17,2.09
2015-07-10,2.01
2015-07-03,2.09
2015-06-26,2.14
2015-06-19,2.06
2015-06-12,2.16
2015-06-05,2.05
2015-05-29,1.89
2015-05-22,1.96
2015-05-15,1.96
2015-05-08,1.92
2015-05-01,1.78
2015-04-24,1.69
2015-04-17,1.66
2015-04-10,1.69
2015-04-03,1.68
2015-03-27,1.73
2015-03-20,1.8
2015-03-13,1.94
2015-03-06,1.94
2015-02-27,1.83
2015-02-20,1.92
2015-02-13,1.82
2015-02-06,1.62
2015-01-30,1.57
2015-01-23,1.65
2015-01-16,1.62
2015-01-09,1.79
2015-01-02,1.98
2014-12-26,2.05
2014-12-19,1.93
2014-12-12,1.95
2014-12-05,2.0
2014-11-28,1.96
2014-11-21,2.04
2014-11-14,2.05
2014-11-07,2.05
2014-10-31,2.0
2014-10-24,1.91
2014-10-17,1.85
2014-10-10,2.04
2014-10-03,2.17
2014-09-26,2.24
2014-09-19,2.28
2014-09-12,2.22
2014-09-05,2.13
2014-08-29,2.06
2014-08-22,2.07
2014-08-15,2.06
2014-08-08,2.12
2014-08-01,2.19
2014-07-25,2.14
2014-07-18,2.16
2014-07-11,2.18
2014-07-04,2.19
2014-06-27,2.17
2014-06-20,2.23
2014-06-13,2.21
2014-06-06,2.17
2014-05-30,2.05
2014-05-23,2.08
2014-05-16,2.12
2014-05-09,2.19
2014-05-02,2.25
2014-04-25,2.3
2014-04-18,2.22
2014-04-11,2.22
2014-04-04,2.34
2014-03-28,2.29
2014-03-21,2.25
2014-03-14,2.2
2014-03-07,2.17
