Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
6/10/2021,,0,0,,5685146
6/9/2021,294.56,297.11,294.02,4.44937E+11,865180
6/8/2021,294.99,295.48,289.86,4.48103E+11,0
6/7/2021,292.37,292.77,285.56,4.43375E+11,642917
6/4/2021,284.62,285.57,283.22,4.32099E+11,969853
6/3/2021,282.79,284.64,280.04,4.2841E+11,1600549
6/2/2021,283.54,283.54,280.54,4.28552E+11,1435702
6/1/2021,281.52,282.16,278.17,4.24423E+11,628852
5/28/2021,279.08,282.11,278.59,4.20716E+11,10501419
5/27/2021,278.67,278.67,274.46,4.19431E+11,1067898
5/26/2021,274.55,274.81,270.11,4.12006E+11,0
5/25/2021,269.17,273.4,269.17,3.99891E+11,0
5/24/2021,271.09,0,0,4.02715E+11,6199699
5/21/2021,270.82,0,0,4.02255E+11,5789403
5/20/2021,269.8,0,0,4.00724E+11,0
5/19/2021,264.32,0,0,3.87983E+11,0
5/18/2021,265.54,0,0,3.85659E+11,0
5/17/2021,261.8,0,0,3.80177E+11,21035807
5/14/2021,260.85,0,0,3.76868E+11,11326097
5/13/2021,252.55,0,0,3.63652E+11,3947912
5/12/2021,255.45,0,0,3.67666E+11,1470292
5/11/2021,262.44,0,0,3.76968E+11,0
5/10/2021,261.04,0,0,3.72917E+11,0
5/7/2021,270.89,0,0,3.8583E+11,9936245
5/6/2021,268.77,0,0,3.8139E+11,4519029
5/5/2021,275.36,279.87,274.3,3.88062E+11,5929606
5/4/2021,278.4,282.27,275.84,3.91988E+11,0
5/3/2021,285.39,290.47,284.68,4.01343E+11,2804332
4/30/2021,288.37,290.97,287.11,4.04568E+11,8317282
4/29/2021,289.48,294.74,286.91,4.04792E+11,6229776
4/28/2021,292.89,293.39,288.49,4.08453E+11,0
4/27/2021,291.29,293.94,290.29,4.04048E+11,0
4/26/2021,291.99,292.13,285.87,4.0302E+11,0
4/23/2021,284.34,284.88,278.58,3.92226E+11,9985135
4/22/2021,278.49,283.35,276.39,3.8334E+11,0
4/21/2021,278.24,278.25,267.38,3.81373E+11,161558
4/20/2021,269.78,275.76,267.28,3.68838E+11,8058742
4/19/2021,275.4,280.91,272.92,3.7414E+11,1909701
4/16/2021,281.84,284.32,280.04,3.82411E+11,284510
4/15/2021,284.44,289.9,282,3.83262E+11,0
4/14/2021,287.72,293.64,287.4,3.85526E+11,317836
4/13/2021,290.44,292.69,287.24,3.85016E+11,0
4/12/2021,291.39,297.4,290.6,3.85119E+11,1477055
4/9/2021,297.7,299.3,296.14,3.93163E+11,949933
4/8/2021,300.15,300.57,296.76,3.96197E+11,1058194
4/7/2021,295.83,301.82,295.1,3.90104E+11,0
4/6/2021,302.35,304.32,301.36,3.94854E+11,0
4/5/2021,302.24,305.63,299.94,3.91429E+11,938480
4/1/2021,301.89,304.69,300.75,3.87962E+11,8236042
3/31/2021,298.34,299.76,292.47,3.79235E+11,0
3/30/2021,290.18,290.97,281.33,3.59842E+11,3208035
3/29/2021,285.29,294.96,285.2,3.52118E+11,0
3/26/2021,294.41,296.82,287.91,3.62719E+11,0
3/25/2021,294.38,294.83,283.27,3.62065E+11,486056
3/24/2021,291.17,307.31,291.16,3.57158E+11,0
3/23/2021,304.22,314.25,303.31,3.71932E+11,2068570
3/22/2021,315.64,318.3,313.3,3.85067E+11,0
3/19/2021,315.46,315.91,306.59,3.82833E+11,1345397
3/18/2021,307.98,318.36,306.86,3.68882E+11,2568279
3/17/2021,318,319.6,307.22,3.80687E+11,0
3/16/2021,315.11,323.72,311.48,3.75789E+11,427487
3/15/2021,323.87,324.55,319.81,3.83683E+11,877698
3/12/2021,320.71,321.03,313.61,3.79583E+11,4975165
3/11/2021,320.55,320.55,310.37,3.77051E+11,4567273
3/10/2021,307.15,313.16,303.9,3.60762E+11,283863
3/9/2021,303.48,305.5,294.18,3.55358E+11,5390172
3/8/2021,286.69,298.41,285.19,3.34212E+11,973090
3/5/2021,290.11,293.11,267.15,3.37035E+11,640870
