"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","0.0000"
"7/31/2015","1438300800","0.0000"
"8/1/2015","1438387200","0.0000"
"8/2/2015","1438473600","0.0000"
"8/3/2015","1438560000","0.0000"
"8/4/2015","1438646400","0.0000"
"8/5/2015","1438732800","0.0000"
"8/6/2015","1438819200","0.0000"
"8/7/2015","1438905600","0.1317"
"8/8/2015","1438992000","0.0468"
"8/9/2015","1439078400","0.0024"
"8/10/2015","1439164800","0.0045"
"8/11/2015","1439251200","0.0099"
"8/12/2015","1439337600","0.0044"
"8/13/2015","1439424000","0.0053"
"8/14/2015","1439510400","0.0043"
"8/15/2015","1439596800","0.0035"
"8/16/2015","1439683200","0.0036"
"8/17/2015","1439769600","0.0036"
"8/18/2015","1439856000","0.0043"
"8/19/2015","1439942400","0.0056"
"8/20/2015","1440028800","0.0050"
"8/21/2015","1440115200","0.0067"
"8/22/2015","1440201600","0.0055"
"8/23/2015","1440288000","0.0075"
"8/24/2015","1440374400","0.0060"
"8/25/2015","1440460800","0.0071"
"8/26/2015","1440547200","0.0063"
"8/27/2015","1440633600","0.0100"
"8/28/2015","1440720000","0.0077"
"8/29/2015","1440806400","0.0073"
"8/30/2015","1440892800","0.0079"
"8/31/2015","1440979200","0.0100"
"9/1/2015","1441065600","0.0113"
"9/2/2015","1441152000","0.0124"
"9/3/2015","1441238400","0.0119"
"9/4/2015","1441324800","0.0120"
"9/5/2015","1441411200","0.0103"
"9/6/2015","1441497600","0.0091"
"9/7/2015","1441584000","0.0113"
"9/8/2015","1441670400","0.0103"
"9/9/2015","1441756800","0.0110"
"9/10/2015","1441843200","0.0090"
"9/11/2015","1441929600","0.0099"
"9/12/2015","1442016000","0.0118"
"9/13/2015","1442102400","0.0114"
"9/14/2015","1442188800","0.0113"
"9/15/2015","1442275200","0.0098"
"9/16/2015","1442361600","0.0094"
"9/17/2015","1442448000","0.0097"
"9/18/2015","1442534400","0.0139"
"9/19/2015","1442620800","0.0095"
"9/20/2015","1442707200","0.0124"
"9/21/2015","1442793600","0.0120"
"9/22/2015","1442880000","0.0133"
"9/23/2015","1442966400","0.0122"
"9/24/2015","1443052800","0.0117"
"9/25/2015","1443139200","0.0111"
"9/26/2015","1443225600","0.0104"
"9/27/2015","1443312000","0.0111"
"9/28/2015","1443398400","0.0115"
"9/29/2015","1443484800","0.0107"
"9/30/2015","1443571200","0.0108"
"10/1/2015","1443657600","0.0102"
"10/2/2015","1443744000","0.0109"
"10/3/2015","1443830400","0.0111"
"10/4/2015","1443916800","0.0114"
"10/5/2015","1444003200","0.0138"
"10/6/2015","1444089600","0.0123"
"10/7/2015","1444176000","0.0145"
"10/8/2015","1444262400","0.0128"
"10/9/2015","1444348800","0.0117"
"10/10/2015","1444435200","0.0113"
"10/11/2015","1444521600","0.0097"
"10/12/2015","1444608000","0.0124"
"10/13/2015","1444694400","0.0139"
"10/14/2015","1444780800","0.0125"
"10/15/2015","1444867200","0.0225"
"10/16/2015","1444953600","0.0261"
"10/17/2015","1445040000","0.0145"
"10/18/2015","1445126400","0.0161"
"10/19/2015","1445212800","0.0139"
"10/20/2015","1445299200","0.0122"
