"Date(UTC)","Value"
"6/6/2021 3:46:00 PM","146202"
"6/6/2021 3:47:00 PM","147030"
"6/6/2021 3:48:00 PM","147353"
"6/6/2021 3:49:00 PM","147644"
"6/6/2021 3:50:00 PM","147543"
"6/6/2021 3:51:00 PM","147522"
"6/6/2021 3:52:00 PM","148001"
"6/6/2021 3:53:00 PM","148354"
"6/6/2021 3:54:00 PM","148201"
"6/6/2021 3:55:00 PM","145543"
"6/6/2021 3:56:00 PM","144152"
"6/6/2021 3:57:00 PM","144250"
"6/6/2021 3:58:00 PM","144235"
"6/6/2021 3:59:00 PM","144089"
"6/6/2021 4:00:00 PM","144393"
"6/6/2021 4:01:00 PM","144448"
"6/6/2021 4:02:00 PM","144937"
"6/6/2021 4:03:00 PM","144371"
"6/6/2021 4:04:00 PM","144793"
"6/6/2021 4:05:00 PM","144913"
"6/6/2021 4:06:00 PM","145116"
"6/6/2021 4:07:00 PM","144878"
"6/6/2021 4:08:00 PM","145445"
"6/6/2021 4:09:00 PM","144964"
"6/6/2021 4:10:00 PM","144947"
"6/6/2021 4:11:00 PM","145168"
"6/6/2021 4:12:00 PM","145167"
"6/6/2021 4:13:00 PM","145205"
"6/6/2021 4:14:00 PM","144921"
"6/6/2021 4:15:00 PM","145110"
"6/6/2021 4:16:00 PM","145438"
"6/6/2021 4:17:00 PM","145777"
"6/6/2021 4:18:00 PM","145764"
"6/6/2021 4:19:00 PM","146114"
"6/6/2021 4:20:00 PM","146273"
"6/6/2021 4:21:00 PM","145867"
"6/6/2021 4:22:00 PM","146320"
"6/6/2021 4:23:00 PM","146843"
"6/6/2021 4:24:00 PM","146880"
"6/6/2021 4:25:00 PM","146972"
"6/6/2021 4:26:00 PM","147127"
"6/6/2021 4:27:00 PM","147135"
"6/6/2021 4:28:00 PM","147318"
"6/6/2021 4:29:00 PM","146936"
"6/6/2021 4:30:00 PM","147116"
"6/6/2021 4:31:00 PM","147263"
"6/6/2021 4:32:00 PM","146949"
"6/6/2021 4:33:00 PM","146880"
"6/6/2021 4:34:00 PM","146606"
"6/6/2021 4:35:00 PM","146845"
"6/6/2021 4:36:00 PM","146832"
"6/6/2021 4:37:00 PM","145646"
"6/6/2021 4:38:00 PM","145732"
"6/6/2021 4:39:00 PM","146022"
"6/6/2021 4:40:00 PM","146177"
"6/6/2021 4:41:00 PM","145884"
"6/6/2021 4:42:00 PM","146109"
"6/6/2021 4:43:00 PM","146522"
"6/6/2021 4:44:00 PM","147153"
"6/6/2021 4:45:00 PM","146853"
"6/6/2021 4:46:00 PM","146801"
"6/6/2021 4:47:00 PM","147491"
"6/6/2021 4:48:00 PM","147500"
"6/6/2021 4:49:00 PM","147791"
"6/6/2021 4:50:00 PM","147555"
"6/6/2021 4:51:00 PM","147813"
"6/6/2021 4:52:00 PM","147595"
"6/6/2021 4:53:00 PM","147387"
"6/6/2021 4:55:00 PM","147679"
"6/6/2021 4:56:00 PM","147566"
"6/6/2021 4:57:00 PM","147051"
"6/6/2021 4:58:00 PM","147110"
"6/6/2021 4:59:00 PM","147571"
"6/6/2021 5:00:00 PM","147410"
"6/6/2021 5:01:00 PM","148018"
"6/6/2021 5:02:00 PM","147952"
"6/6/2021 5:03:00 PM","148256"
"6/6/2021 5:04:00 PM","148916"
"6/6/2021 5:05:00 PM","148895"
"6/6/2021 5:06:00 PM","149088"
"6/6/2021 5:07:00 PM","148538"
"6/6/2021 5:08:00 PM","148729"
"6/6/2021 5:09:00 PM","148920"
"6/6/2021 5:10:00 PM","149140"
"6/6/2021 5:11:00 PM","148949"
"6/6/2021 5:12:00 PM","149018"
