Date,Ethereum + Ether + smart contract,monthly,modified daily
8/1/2015,76,3,2.28
8/2/2015,84,3,2.52
8/3/2015,62,3,1.86
8/4/2015,100,3,3
8/5/2015,74,3,2.22
8/6/2015,86,3,2.58
8/7/2015,68,3,2.04
8/8/2015,81,3,2.43
8/9/2015,79,3,2.37
8/10/2015,81,3,2.43
8/11/2015,69,3,2.07
8/12/2015,76,3,2.28
8/13/2015,81,3,2.43
8/14/2015,83,3,2.49
8/15/2015,83,3,2.49
8/16/2015,87,3,2.61
8/17/2015,68,3,2.04
8/18/2015,73,3,2.19
8/19/2015,81,3,2.43
8/20/2015,85,3,2.55
8/21/2015,74,3,2.22
8/22/2015,70,3,2.1
8/23/2015,55,3,1.65
8/24/2015,75,3,2.25
8/25/2015,63,3,1.89
8/26/2015,67,3,2.01
8/27/2015,65,3,1.95
8/28/2015,55,3,1.65
8/29/2015,78,3,2.34
8/30/2015,63,3,1.89
8/31/2015,87,3,2.61
9/1/2015,76,3,2.28
9/2/2015,82,3,2.46
9/3/2015,79,3,2.37
9/4/2015,87,3,2.61
9/5/2015,66,3,1.98
9/6/2015,88,3,2.64
9/7/2015,66,3,1.98
9/8/2015,58,3,1.74
9/9/2015,78,3,2.34
9/10/2015,80,3,2.4
9/11/2015,58,3,1.74
9/12/2015,77,3,2.31
9/13/2015,59,3,1.77
9/14/2015,81,3,2.43
9/15/2015,72,3,2.16
9/16/2015,100,3,3
9/17/2015,85,3,2.55
9/18/2015,65,3,1.95
9/19/2015,49,3,1.47
9/20/2015,72,3,2.16
9/21/2015,85,3,2.55
9/22/2015,68,3,2.04
9/23/2015,86,3,2.58
9/24/2015,75,3,2.25
9/25/2015,73,3,2.19
9/26/2015,82,3,2.46
9/27/2015,61,3,1.83
9/28/2015,85,3,2.55
9/29/2015,65,3,1.95
9/30/2015,95,3,2.85
10/1/2015,100,3,3
10/2/2015,69,3,2.07
10/3/2015,60,3,1.8
10/4/2015,62,3,1.86
10/5/2015,85,3,2.55
10/6/2015,87,3,2.61
10/7/2015,78,3,2.34
10/8/2015,61,3,1.83
10/9/2015,72,3,2.16
10/10/2015,67,3,2.01
10/11/2015,62,3,1.86
10/12/2015,75,3,2.25
10/13/2015,94,3,2.82
10/14/2015,70,3,2.1
