Date,Tweets
3/16/2016,1185
3/17/2016,1211
3/18/2016,1123
3/19/2016,943
3/20/2016,1304
3/21/2016,2233
3/22/2016,859
3/23/2016,944
3/24/2016,1982
3/25/2016,927
3/26/2016,712
3/27/2016,716
3/28/2016,1298
3/29/2016,1589
3/30/2016,1745
3/31/2016,988
4/1/2016,830
4/2/2016,743
4/3/2016,846
4/4/2016,1000
4/5/2016,1067
4/6/2016,967
4/7/2016,2284
4/8/2016,862
4/9/2016,759
4/10/2016,1073
4/11/2016,891
4/12/2016,1150
4/13/2016,907
4/14/2016,978
4/15/2016,1139
4/16/2016,701
4/17/2016,781
4/18/2016,1014
4/19/2016,962
4/20/2016,984
4/21/2016,883
4/22/2016,924
4/23/2016,607
4/24/2016,543
4/25/2016,923
4/26/2016,894
4/27/2016,735
4/28/2016,935
4/29/2016,916
4/30/2016,951
5/1/2016,773
5/2/2016,1114
5/3/2016,2628
5/4/2016,1261
5/5/2016,1181
5/6/2016,1085
5/7/2016,703
5/8/2016,856
5/9/2016,1110
5/10/2016,970
5/11/2016,1078
5/12/2016,905
5/13/2016,946
5/14/2016,764
5/15/2016,1009
5/16/2016,1588
5/17/2016,1346
5/18/2016,1636
5/19/2016,1929
5/20/2016,1638
5/21/2016,977
5/22/2016,1162
5/23/2016,1236
5/24/2016,1407
5/25/2016,1470
5/26/2016,1380
5/27/2016,1171
5/28/2016,1714
5/29/2016,1409
5/30/2016,3305
5/31/2016,1465
6/1/2016,2023
6/2/2016,1294
6/3/2016,1188
6/4/2016,844
6/5/2016,1091
6/6/2016,1072
6/7/2016,1500
6/8/2016,1673
6/9/2016,1573
6/10/2016,1324
6/11/2016,1086
6/12/2016,1200
6/13/2016,1766
6/14/2016,2136
6/15/2016,1780
6/16/2016,2106
6/17/2016,6219
6/18/2016,4386
6/19/2016,3235
6/20/2016,2649
6/21/2016,2523
6/22/2016,2402
6/23/2016,1877
6/24/2016,1896
6/25/2016,1315
6/26/2016,1175
6/27/2016,1425
6/28/2016,1512
6/29/2016,1945
6/30/2016,1303
7/1/2016,1241
7/2/2016,1326
7/3/2016,1061
7/4/2016,933
7/5/2016,1128
7/6/2016,1020
7/7/2016,1186
7/8/2016,1122
7/9/2016,817
7/10/2016,961
7/11/2016,1236
7/12/2016,1087
7/13/2016,934
7/14/2016,1023
7/15/2016,1280
7/16/2016,1102
7/17/2016,1330
7/18/2016,1377
7/19/2016,1904
7/20/2016,3555
7/21/2016,2207
7/22/2016,2045
7/23/2016,1362
7/24/2016,2808
7/25/2016,2338
7/26/2016,2943
7/27/2016,2343
7/28/2016,1948
7/29/2016,2028
7/30/2016,1618
7/31/2016,1574
8/1/2016,1862
8/2/2016,3703
8/3/2016,1734
8/4/2016,1466
8/5/2016,1850
8/6/2016,1036
8/7/2016,970
8/8/2016,1441
8/9/2016,1517
8/10/2016,1293
8/11/2016,1467
8/12/2016,1586
8/13/2016,1400
8/14/2016,1219
8/15/2016,1396
8/16/2016,1516
8/17/2016,1285
8/18/2016,1372
8/19/2016,1246
8/20/2016,978
8/21/2016,938
8/22/2016,968
8/23/2016,1294
8/24/2016,1296
8/25/2016,1485
8/26/2016,1590
8/27/2016,1103
8/28/2016,1288
8/29/2016,4367
8/30/2016,1240
8/31/2016,1228
9/1/2016,1287
9/2/2016,1191
9/3/2016,943
9/4/2016,884
9/5/2016,1012
9/6/2016,1872
9/7/2016,1645
9/8/2016,1492
9/9/2016,1618
9/10/2016,1882
9/11/2016,1272
9/12/2016,1291
9/13/2016,1453
9/14/2016,2093
9/15/2016,1963
9/16/2016,1498
9/17/2016,1691
9/18/2016,1310
9/19/2016,1818
9/20/2016,2688
9/21/2016,2490
9/22/2016,2824
9/23/2016,3588
9/24/2016,2011
9/25/2016,1739
9/26/2016,2414
9/27/2016,2841
9/28/2016,2583
9/29/2016,2935
9/30/2016,1915
10/1/2016,1485
10/2/2016,1556
10/3/2016,1836
10/4/2016,1996
10/5/2016,1738
10/6/2016,1940
10/7/2016,1830
10/8/2016,1573
10/9/2016,1403
10/10/2016,1398
10/11/2016,1669
10/12/2016,1481
10/13/2016,1713
10/14/2016,1833
