Date,ADA_Price(USDT),ADA_Volume(USDT),ADA_Tradecount,BNB_Price(USDT),BNB_Volume(USDT),BNB_Tradecount,BTC_Price(USDT),BTC_Volume(USDT),BTC_Tradecount,DOT_Price(USDT),DOT_Volume(USDT),DOT_Tradecount,EOS_Price(USDT),EOS_Volume(USDT),EOS_Tradecount,ETC_Price(USDT),ETC_Volume(USDT),ETC_Tradecount,ETH_Volume(USDT),ETH_Tradecount,LINK_Price(USDT),LINK_Volume(USDT),LINK_Tradecount,LTC_Price(USDT),LTC_Volume(USDT),LTC_Tradecount,SOL_Price(USDT),SOL_Volume(USDT),SOL_Tradecount,TRX_Price(USDT),TRX_Volume(USDT),TRX_Tradecount,XLM_Price(USDT),XLM_Volume(USDT),XLM_Tradecount,XRP_Price(USDT),XRP_Volume(USDT),XRP_Tradecount,BTC-Dominance,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockCountRewards,BlockDifficulty,BlockReward,BlockSize,BlockTime,DailyActiveERC20Address,DailyActiveEthAddress,EnsRegistrations,EtherPrice,GasLimit,GasUsed,MarketCap,NetworkHash,NetworkUtilization,ERC20 daily token transfer,TransactionFee, Ethereum daily transactions,Uncles,verified-contracts,USD_EURO,USD_YUAN,WGS7YR,Gold_Price,NASDAQ_Ind,OIL_PRICE,GOOGLE_TREND,TWEETS
1/1/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,40701,0,54747565393,4885,8.547,26066.5625,885,17.43,0,2351,0,0.93,3141603,292262422,76166284.41,526.2007,0.019,0,1.57E+19,8233,434,0,0.925668796,6.5338,2.1,1072.7,130.71,31.79,1.14,0
1/2/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,40850,0,53323453178,5095,8.147,27383.90625,954,16.74,0,2411,0,0.93,3141599,368139389,76193668.31,528.0765,0.023,0,1.94E+19,9164,505,0,0.925668796,6.5338,1.99,1072.7,130.71,31.79,1.5,0
1/3/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,41000,0,53342341402,5134,8.312,27675.78125,955,16.51,0,2455,0,0.97,3141597,369359246,76221344.09,544.8281,0.0229,0,1.94E+19,9258,529,0,0.925668796,6.5338,1.99,1072.7,130.71,31.79,1.56,0
1/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,41198,0,54038066808,5096,8.334,27420.625,981,16.61,0,2539,0,0.95,3141599,402593450,76248764.72,541.3346,0.0251,0,2.13E+19,9474,516,0,0.925668796,6.5338,1.99,1072.7,130.71,31.79,1.77,0
1/5/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,41381,0,57078526509,5126,8.306,27839.21875,1396,16.47,0,2535,0,0.95,3164299,1081639803,76276603.94,548.8214,0.0667,0,6.04E+19,16430,583,0,0.930838686,6.5219,1.99,1078,130.85,31.21,1.2,0
1/6/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,41647,0,53724486418,5090,8.423,27625.46875,1553,16.63,2,2646,0,0.96,3153939,1248021662,76304229.41,552.2518,0.0778,1,6.65E+19,17074,575,0,0.929195317,6.5554,1.99,1083.85,128.68,29.71,1.71,0
1/7/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,41869,0,53273537581,4981,8.21,27022.1875,1550,16.99,7,2684,0,0.95,3146103,1230019603,76331251.59,526.3401,0.0785,5,6.55E+19,22075,558,0,0.920810313,6.5926,1.99,1096,125.47,27.85,1.56,0
1/8/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,42078,0,53800517545,5176,8.302,27996.71875,1080,16.28,0,2611,0,0.99,3141612,484149867,76359248.31,550.7067,0.0298,0,2.60E+19,10919,555,0,0.918695452,6.5932,1.99,1097.45,123.62,28.47,1.92,0
1/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,42411,0,53277018400,5099,8.433,27595.78125,1209,16.59,3,2625,0,0.99,3141674,727791392,76386844.09,551.6457,0.0454,7,3.93E+19,11793,553,0,0.918695452,6.5932,1.87,1097.45,123.62,28.47,1.29,0
1/10/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,42678,0,53104731714,5093,8.337,27287.96875,1044,16.59,0,2798,0,0.99,3141631,491410995,76414132.06,538.0286,0.0307,0,2.63E+19,10320,483,0,0.918695452,6.5932,1.87,1097.45,123.62,28.47,1.32,0
1/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,43005,0,53940328769,5107,8.828,27005.15625,1058,16.51,0,2951,0,1.05,3141626,482297856,76441137.22,561.5707,0.0301,0,2.55E+19,10893,389,0,0.919286634,6.5675,1.87,1104.7,121.5,27.07,1.59,0
1/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,43351,0,54526276152,4930,8.89,25900.78125,1094,17.23,2,2987,0,1.23,3141755,471922007,76467038,541.1136,0.0305,1,2.56E+19,10862,329,0,0.922764603,6.57,1.87,1094.85,121.62,25.76,2.04,0
1/13/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,43579,0,58256098368,5002,8.484,26535.3125,1423,16.93,2,2816,0,1.13,3174885,1023451156,76493573.31,530.6222,0.0644,1,6.03E+19,17665,402,0,0.920640766,6.57,1.87,1081.8,117.49,25.69,1.89,0
1/14/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,43804,0,55250356301,5090,8.735,26919.21875,1062,16.66,5,2753,0,1.16,3141660,489948500,76520492.53,553.7419,0.0306,3,2.68E+19,10653,387,0,0.920640766,6.5891,1.87,1090.75,118.8,25,1.98,0
