Date,EtherPrice,ADA_Price(USDT),BNB_Price(USDT),BNB_Volume(USDT),BNB_Tradecount,BTC_Price(USDT),BTC_Tradecount,EOS_Price(USDT),EOS_Volume(USDT),EOS_Tradecount,ETC_Price(USDT),ETC_Volume(USDT),ETC_Tradecount,ETH_Volume(USDT),ETH_Tradecount,LTC_Price(USDT),LTC_Volume(USDT),LTC_Tradecount,TRX_Price(USDT),TRX_Volume(USDT),TRX_Tradecount,XLM_Price(USDT),XRP_Price(USDT),BTC-Dominance,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockDifficulty,BlockSize,DailyActiveEthAddress,GasLimit,GasUsed,NetworkHash,ERC20 daily token transfer,TransactionFee, Ethereum daily transactions,verified-contracts,USD_EURO,USD_YUAN,Gold_Price,NASDAQ_Ind,GOOGLE_TREND,TWEETS
2016-01-01,0.93,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.26,40701,0.0,54747565393.0,8.547,885,2351,3141603,292262422,526.2007,0,1.57e+19,8233,0,0.925668796,6.5338,1072.7,130.71,1.14,0
2016-01-02,0.93,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.26,40850,0.0,53323453178.0,8.147,954,2411,3141599,368139389,528.0765,0,1.94e+19,9164,0,0.925668796,6.5338,1072.7,130.71,1.5,0
2016-01-03,0.97,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.26,41000,0.0,53342341402.0,8.312,955,2455,3141597,369359246,544.8281,0,1.94e+19,9258,0,0.925668796,6.5338,1072.7,130.71,1.56,0
2016-01-04,0.95,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.26,41198,0.0,54038066808.0,8.334,981,2539,3141599,402593450,541.3346,0,2.13e+19,9474,0,0.925668796,6.5338,1072.7,130.71,1.77,0
2016-01-05,0.95,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,41381,0.0,57078526509.0,8.306,1396,2535,3164299,1081639803,548.8214,0,6.04e+19,16430,0,0.930838686,6.5219,1078.0,130.85,1.2,0
2016-01-06,0.96,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,41647,0.0,53724486418.0,8.423,1553,2646,3153939,1248021662,552.2518,1,6.65e+19,17074,0,0.929195317,6.5554,1083.85,128.68,1.71,0
2016-01-07,0.95,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,41869,0.0,53273537581.0,8.21,1550,2684,3146103,1230019603,526.3401,5,6.55e+19,22075,0,0.920810313,6.5926,1096.0,125.47,1.56,0
2016-01-08,0.99,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,42078,0.0,53800517545.0,8.302,1080,2611,3141612,484149867,550.7067,0,2.6e+19,10919,0,0.918695452,6.5932,1097.45,123.62,1.92,0
2016-01-09,0.99,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,42411,0.0,53277018400.0,8.433,1209,2625,3141674,727791392,551.6457,7,3.93e+19,11793,0,0.918695452,6.5932,1097.45,123.62,1.29,0
2016-01-10,0.99,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,42678,0.0,53104731714.0,8.337,1044,2798,3141631,491410995,538.0286,0,2.63e+19,10320,0,0.918695452,6.5932,1097.45,123.62,1.32,0
2016-01-11,1.05,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,91.48,43005,0.0,53940328769.0,8.828,1058,2951,3141626,482297856,561.5707,0,2.55e+19,10893,0,0.919286634,6.5675,1104.7,121.5,1.59,0
2016-01-12,1.23,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,43351,0.0,54526276152.0,8.89,1094,2987,3141755,471922007,541.1136,1,2.56e+19,10862,0,0.922764603,6.57,1094.85,121.62,2.04,0
2016-01-13,1.13,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,43579,0.0,58256098368.0,8.484,1423,2816,3174885,1023451156,530.6222,1,6.03e+19,17665,0,0.920640766,6.57,1081.8,117.49,1.89,0
2016-01-14,1.16,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,43804,0.0,55250356301.0,8.735,1062,2753,3141660,489948500,553.7419,3,2.68e+19,10653,0,0.920640766,6.5891,1090.75,118.8,1.98,0
2016-01-15,1.22,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,44209,0.0,57562550443.0,8.996,1006,3126,3141784,409950494,567.1537,8,2.32e+19,9875,0,0.912075885,6.584,1081.1,115.77,1.65,0
2016-01-16,1.22,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,44494,0.0,55150540726.0,9.202,967,2666,3141697,418575124,574.0822,0,2.27e+19,10664,0,0.912075885,6.584,1081.1,115.77,1.56,0
2016-01-17,1.31,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,44771,0.0,53477721574.0,9.068,887,2579,3141705,323467063,568.3259,2,1.7e+19,9747,0,0.912075885,6.584,1081.1,115.77,1.14,0
2016-01-18,1.47,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90.3,45167,0.0,53945900879.0,9.454,1057,3051,3141706,591740638,591.419,3,3.09e+19,12916,0,0.912075885,6.584,1090.45,115.77,2.1,0
2016-01-19,1.37,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,45486,0.0,53767376718.0,9.539,1107,2846,3142004,678347830,584.904,1,3.56e+19,13420,0,0.916926462,6.5783,1087.0,113.64,2.07,0
2016-01-20,1.53,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,45937,0.0,55721616549.0,9.414,959,3351,3141623,348032526,588.1518,4,1.9e+19,10610,0,0.916758343,6.5781,1093.2,113.73,2.01,0
2016-01-21,1.54,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,46362,0.0,60639283859.0,9.598,944,2902,3141658,342268224,584.1308,3,2.03e+19,10734,0,0.923105326,6.5794,1096.8,114.91,2.4,0
2016-01-22,1.52,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,46783,0.0,56195249052.0,9.897,1027,2978,3146193,570242575,610.6596,4,3.12e+19,13848,0,0.924727205,6.5788,1097.65,117.25,2.07,0
2016-01-23,2.03,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,47374,0.0,55504259187.0,10.059,906,3410,3141776,322444465,608.8656,4,1.74e+19,11025,0,0.924727205,6.5788,1097.65,117.25,2.1,0
2016-01-24,2.1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,48105,0.0,58951408559.0,10.133,993,3823,3141605,423769859,650.5701,5,2.37e+19,12798,0,0.924727205,6.5788,1097.65,117.25,2.19,0
2016-01-25,2.5,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,89.62,48925,0.01,56752420983.0,10.33,1335,4040,3141736,726749777,624.8285,2,4.02e+19,17121,0,0.923190547,6.579,1103.7,116.09,2.4,0
2016-01-26,2.3,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,87.82,49844,0.01,58955359850.0,10.611,1228,4329,3141650,673354229,672.8732,4,3.79e+19,16511,0,0.921998894,6.5814,1114.7,116.91,3.0,0
2016-01-27,2.42,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,87.82,50637,0.01,58687046251.0,10.82,1566,4056,3141823,988064305,663.7333,1,5.69e+19,18747,0,0.920217171,6.5773,1116.5,115.52,2.67,0
2016-01-28,2.55,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,87.82,51643,0.01,56180261528.0,10.449,1424,4466,3141716,757796542,652.1991,1049,4.14e+19,16765,0,0.913075237,6.5744,1119.0,114.69,2.25,0
2016-01-29,2.41,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,87.82,52611,0.01,59508641167.0,10.883,1308,4323,3141700,662122614,670.1196,232,3.74e+19,16395,0,0.923190547,6.5752,1112.9,117.04,2.01,0
2016-01-30,2.43,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,87.82,53598,0.01,67198755701.0,10.876,1179,4341,3141702,547033880,668.8032,13,3.54e+19,14661,0,0.923190547,6.5752,1112.9,117.04,2.34,0
